

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.423  000.412: locale set
000.699  000.276: inits 1
000.711  000.012: window checked
004.001  003.290: parsing arguments
004.254  000.253: expanding arguments
004.288  000.034: inits 2
004.730  000.442: init highlight
004.733  000.002: waiting for UI
006.046  001.313: done waiting for UI
006.067  000.021: init screen for UI
006.096  000.029: init default mappings
006.236  000.140: init default autocommands
007.153  000.178  000.178: sourcing /squashfs-root/usr/share/nvim/runtime/syntax/synload.vim
015.212  008.002  008.002: sourcing /squashfs-root/usr/share/nvim/runtime/filetype.vim
016.056  000.530  000.530: sourcing /squashfs-root/usr/share/nvim/runtime/scripts.vim
016.108  009.753  001.044: sourcing /squashfs-root/usr/share/nvim/runtime/syntax/syntax.vim
016.160  000.011  000.011: sourcing /squashfs-root/usr/share/nvim/runtime/filetype.vim
016.214  000.033  000.033: sourcing /squashfs-root/usr/share/nvim/runtime/ftplugin.vim
016.263  000.027  000.027: sourcing /squashfs-root/usr/share/nvim/runtime/indent.vim
018.538  002.199  002.199: sourcing /home/tranha/.config/nvim/autoload/plug.vim
022.952  000.689  000.689: sourcing /squashfs-root/usr/share/nvim/runtime/ftoff.vim
033.601  000.026  000.026: sourcing /home/tranha/.config/nvim/plugged/ultisnips/ftdetect/snippets.vim
033.848  000.028  000.028: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/elixir.vim
033.876  000.012  000.012: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/fennel.vim
033.910  000.018  000.018: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/fish.vim
033.933  000.010  000.010: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/fusion.vim
033.966  000.015  000.015: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/gdresource.vim
033.989  000.010  000.010: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/gdscript.vim
034.016  000.010  000.010: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/glimmer.vim
034.063  000.032  000.032: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/glsl.vim
